Date,LQI
2595,107
2596,108
2597,107
2598,108
2599,106
2600,107
2601,108
2602,107
2603,107
2604,106
2605,108
2606,108
2607,108
2608,107
2609,106
2610,108
2611,106
2612,107
2613,108
2614,106
2615,106
2616,107
2617,108
2618,107
2619,106
2620,107
2621,105
2622,107
2623,108
2624,105
2625,107
2626,106
2627,107
2628,105
2629,106
2630,101
2631,106
2632,107
2633,106
2634,107
2635,106
2636,108
2637,108
2638,107
2639,107
2640,107
2641,107
2642,106
2643,106
2644,106
2645,108
2646,108
2647,108
2648,107
2649,108
2650,107
2651,106
2652,108
2653,105
2654,106
2655,107
2656,105
2657,108
2658,107
2659,107
2660,107
2661,108
2662,107
2663,102
2664,106
2665,106
2666,107
2667,107
2668,107
2669,107
2670,108
2671,106
2672,104
2673,107
2674,107
2675,107
2676,105
2677,105
2678,107
2679,105
2680,105
2681,107
2682,106
2683,108
2684,107
2685,105
2686,106
2687,108
2688,108
2689,107
2690,105
2691,106
2692,105
2693,108
2694,108
2695,103
2696,105
2697,108
2698,106
2699,105
2700,108
2701,108
2702,106
2703,106
2704,105
2705,107
2706,106
2707,106
2708,107
2709,108
2710,104
2711,107
2712,106
2713,108
2714,107
2715,106
2716,107
2717,107
2718,107
2719,107
2720,106
2721,107
2722,108
2723,106
2724,104
2725,107
2726,107
2727,105
2728,106
2729,108
2730,108
2731,108
2732,107
2733,107
2734,108
2735,108
2736,107
2737,107
2738,108
2739,107
2740,107
2741,105
2742,107
2743,108
2744,108
2745,108
2746,107
2747,108
2748,108
2749,108
2750,107
2751,106
2752,107
2753,107
2754,107
2755,107
2756,108
2757,108
2758,108
2759,107
2760,107
2761,107
2762,107
2763,107
2764,108
2765,108
2766,107
2767,108
2768,107
2769,108
2770,107
2771,107
2772,107
2773,108
2774,107
2775,108
2776,104
2777,108
2778,108
2779,107
2780,104
2781,107
2782,108
2783,108
2784,105
2785,108
2786,107
2787,107
2788,107
2789,108
2790,108
2791,107
2792,107
2793,108
2794,108
2795,107
2796,107
2797,105
2798,108
2799,107
2800,108
2801,107
2802,107
2803,107
2804,108
2805,108
2806,107
2807,107
2808,107
2809,108
2810,106
2811,107
2812,108
2813,108
2814,107
2815,107
2816,106
2817,107
2818,107
2819,108
2820,105
2821,108
2822,105
2823,106
2824,107
2825,107
2826,108
2827,107
2828,107
2829,108
2830,108
2831,107
2832,107
2833,108
2834,108
2835,108
2836,107
2837,107
2838,108
2839,106
2840,107
2841,107
2842,107
2843,108
2844,107
2845,107
2846,104
2847,107
2848,106
2849,104
2850,106
2851,105
2852,106
2853,104
2854,106
2855,107
2856,108
2857,107
2858,106
2859,107
2860,105
2861,108
2862,107
2863,108
2864,106
2865,107
2866,107
2867,104
2868,107
2869,108
2870,107
2871,107
2872,107
2873,106
2874,104
2875,107
2876,107
2877,107
2878,107
2879,108
2880,106
2881,107
2882,107
2883,107
2884,106
2885,107
2886,107
2887,107
2888,104
2889,105
2890,106
2891,107
2892,106
2893,107
2894,106
2895,107
2896,107
2897,105
2898,107
2899,107
2900,107
2901,106
2902,107
2903,108
2904,107
2905,108
2906,103
2907,107
2908,105
2909,107
2910,108
2911,107
2912,107
2913,107
2914,107
2915,104
2916,108
2917,105
2918,107
2919,106
2920,105
2921,107
2922,105
2923,107
2924,105
2925,108
2926,106
2927,102
2928,103
2929,107
2930,99
2931,101
2932,107
2933,108
2934,105
2935,106
2936,106
2937,107
2938,108
2939,106
2940,107
2941,108
2942,108
2943,107
2944,107
2945,107
2946,108
2947,107
2948,108
2949,107
2950,108
2951,107
2952,107
2953,108
2954,106
2955,107
2956,108
2957,106
2958,107
2959,107
2960,108
2961,107
2962,105
2963,108
2964,105
2965,107
2966,105
2967,104
2968,107
2969,107
2970,108
2971,102
2972,107
2973,107
2974,104
2975,107
2976,108
2977,107
2978,106
2979,107
2980,108
2981,107
2982,107
2983,107
2984,104
2985,106
2986,105
2987,107
2988,108
